ARQUIVO: cpos - PLANILHA: Comp EDIF Sem Des Julho24
DATA DA CONVERSÃO: 28/06/2025 11:44


CODIGO    DESCRICAO                                                                                                                                                                                                                                UNIDADE   PRECO_UNITARIO  FONTE
1004023   TUBO DE PEAD CORRUGADO E PERFURADOPARA DRENAGEM - DIÂMETRO 6,0" (EM ACORDO COM AS NORMAS DNIT 093/06, NBR 15073 E NBR 14692)                                                                                                             M         31,52           cpos 
1004026   TUBO PVC PERFURADO PARA DRENAGEM - DIÂMETRO 4" (100MM)                                                                                                                                                                                   M         76,78           cpos 
1004027   TUBO PVC PERFURADO PARA DRENAGEM - DIÂMETRO 6" (150MM)                                                                                                                                                                                   M         95,92           cpos 
1004030   TUBO DE CONCRETO - DIÂMETRO DE 30CM                                                                                                                                                                                                      M         73,13           cpos 
1004031   TUBO DE CONCRETO - DIÂMETRO DE 40CM                                                                                                                                                                                                      M         100,01          cpos 
1004032   TUBO DE CONCRETO - DIÂMETRO DE 50CM                                                                                                                                                                                                      M         134,88          cpos 
1004033   TUBO DE CONCRETO - DIÂMETRO DE 60CM                                                                                                                                                                                                      M         174,81          cpos 
1004035   TUBO DE CONCRETO - DIÂMETRO DE 80CM                                                                                                                                                                                                      M         421,88          cpos 
1004037   TUBO DE CONCRETO - DIÂMETRO DE 100CM                                                                                                                                                                                                     M         574,80          cpos 
1004039   TUBO DE CONCRETO - DIÂMETRO DE 120CM                                                                                                                                                                                                     M         839,28          cpos 
1004048   CAIXA DE LIGAÇÃO OU INSPEÇÃO - ESCAVAÇÃO E APILOAMENTO                                                                                                                                                                                   M3        65,08           cpos 
1004049   CAIXA DE LIGAÇÃO OU INSPEÇÃO - LASTRO DE CONCRETO (FUNDO)                                                                                                                                                                                M3        557,98          cpos 
1004050   CAIXA DE LIGAÇÃO OU INSPEÇÃO - ALVENARIA DE 1/2 TIJOLO, REVESTIDA                                                                                                                                                                        M2        284,26          cpos 
1004051   CAIXA DE LIGAÇÃO OU INSPEÇÃO - ALVENARIA DE 1 TIJOLO, REVESTIDA                                                                                                                                                                          M2        401,21          cpos 
1004052   CAIXA DE LIGAÇÃO OU INSPEÇÃO - TAMPA DE CONCRETO                                                                                                                                                                                         M2        259,11          cpos 
1004070   ENVOLVIMENTO DE TUBOS COM BRITA                                                                                                                                                                                                          M3        237,45          cpos 
1004071   ENVOLVIMENTO DE TUBOS COM AREIA                                                                                                                                                                                                          M3        278,16          cpos 
1004075   MANTA GEOTÊXTIL                                                                                                                                                                                                                          M2        10,07           cpos 
1004076   FORNECIMENTO E APLICAÇÃO DE GEOMEMBRANA DE PEAD - 1MM DE ESPESSURA                                                                                                                                                                       M2        34,62           cpos 
1004077   FORNECIMENTO E APLICAÇÃO DE MANTA FORMADA PELA ASSOCIAÇÃO DE UM TECIDO TÉCNICO DE POLIESTER COM UM FILME DE POLIETILENO DE BAIXA DENSIDADE EM ACORDO COM A NBR 12824                                                                     M2        22,02           cpos 
1004078   FORNECIMENTO E APLICAÇÃO DE GEOCOMPOSTO FORMADO POR NÚCLEO TRIDIMENSIONAL, FLEXÍVEL DE FILAMENTO DE POLIPROPILENO, ASSOCIADO ÀS SUAS DUAS SUPERFÍCIES GEOTEXTEIS NÃO TECIDOS                                                             M2        34,09           cpos 
1004080   REATERRO DE VALAS, INCLUSIVE COMPACTAÇÃO                                                                                                                                                                                                 M3        16,97           cpos 
1005001   TAPUME CHAPA COMPENSADA 6MM                                                                                                                                                                                                              M2        84,15           cpos 
1005002   TAPUME CHAPA COMPENSADA RESINADA 10MM                                                                                                                                                                                                    M2        93,99           cpos 
1005005   TAPUME METÁLICO COM TELHA METÁLICA, SEM PINTURA, TRAPEZOIDAL 40 ESP=0,43MM, COLUNAS, BASES E PARAFUSOS                                                                                                                                   M2        163,06          cpos 
1005006   PORTÃO METÁLICO DE OBRA - 5M, PIVOTANTE, 2 FOLHAS, PARA TAPUME                                                                                                                                                                           M2        269,26          cpos 
1005007   PORTÃO DE PEDESTRES - 1,15M, PARA TAPUME                                                                                                                                                                                                 M2        263,16          cpos 
1005040   TELA PARA PROTEÇÃO DE OBRAS, MALHA 2 MM                                                                                                                                                                                                  M2        30,68           cpos 
2001001   BROCA DE CONCRETO - DIÂMETRO DE 20CM                                                                                                                                                                                                     M         60,69           cpos 
2001002   BROCA DE CONCRETO - DIÂMETRO DE 25CM                                                                                                                                                                                                     M         91,98           cpos 
2001003   BROCA DE CONCRETO - DIÂMETRO DE 30CM                                                                                                                                                                                                     M         136,72          cpos 
2001005   ESTACA DE CONCRETO MOLDADA NO LOCAL, TIPO "STRAUSS" - ATÉ 20T                                                                                                                                                                            M         67,36           cpos 
2001006   ESTACA DE CONCRETO MOLDADA NO LOCAL, TIPO "STRAUSS" - ATÉ 30T                                                                                                                                                                            M         87,43           cpos 
2001007   ESTACA DE CONCRETO MOLDADA NO LOCAL, TIPO "STRAUSS" - ATÉ 40T                                                                                                                                                                            M         107,36          cpos 
2001008   ESTACA DE CONCRETO MOLDADA NO LOCAL, TIPO "STRAUSS" - ATÉ 60T                                                                                                                                                                            M         136,82          cpos 
2001020   TUBULÃO - ESCAVAÇÃO A CÉU ABERTO, COM PÁ E PICARETA                                                                                                                                                                                      M3        586,82          cpos 
2001034   TUBULÃO A CÉU ABERTO FCK=20 MPA                                                                                                                                                                                                          M3        808,36          cpos 
2001043   EMENDA DE ESTACA DE CONCRETO PRÉ-MOLDADA - DIÂMETRO 17 CM - 20 T                                                                                                                                                                         UN        39,01           cpos 
2001044   EMENDA DE ESTACA DE CONCRETO PRÉ-MOLDADA - DIÂMETRO 20 CM - 30 T                                                                                                                                                                         UN        42,93           cpos 
2001045   EMENDA DE ESTACA DE CONCRETO PRÉ-MOLDADA - DIÂMETRO 23 CM - 40 T                                                                                                                                                                         UN        48,22           cpos 
2001046   EMENDA DE ESTACA DE CONCRETO PRÉ-MOLDADA - DIÂMETRO 28 CM - 60 T                                                                                                                                                                         UN        58,98           cpos 
2001047   EMENDA DE ESTACA DE CONCRETO PRÉ-MOLDADA - DIÂMETRO 33 CM - 70 T                                                                                                                                                                         UN        68,46           cpos 
2001048   ARRASAMENTO DE ESTACA                                                                                                                                                                                                                    UN        67,65           cpos 
2001051   ESTACAS ESCAVADAS MECANICAMENTE - DIÂMETRO DE 25CM                                                                                                                                                                                       M         45,20           cpos 
2001052   ESTACAS ESCAVADAS MECANICAMENTE - DIÂMETRO DE 30CM                                                                                                                                                                                       M         58,71           cpos 
2001053   ESTACAS ESCAVADAS MECANICAMENTE - DIÂMETRO DE 35CM                                                                                                                                                                                       M         75,57           cpos 
2001055   ESTACAS ESCAVADAS MECANICAMENTE - DIÂMETRO DE 40CM                                                                                                                                                                                       M         101,11          cpos 
2001056   ESTACAS ESCAVADAS MECANICAMENTE - DIÂMETRO DE 80CM                                                                                                                                                                                       M         347,34          cpos 
2001060   ESTACA RAIZ DIÂMETRO DE 160MM PARA ATÉ 35 TF                                                                                                                                                                                             M         365,02          cpos 
2001061   ESTACA RAIZ DIÂMETRO DE 200MM PARA ATÉ 50 TF                                                                                                                                                                                             M         439,04          cpos 
2001062   ESTACA RAIZ DIÂMETRO DE 250MM PARA ATÉ 80 TF                                                                                                                                                                                             M         496,19          cpos 
2001063   ESTACA RAIZ DIÂMETRO DE 310MM PARA ATÉ 100 TF                                                                                                                                                                                            M         612,97          cpos 
2001070   FORNECIMENTO E CRAVAÇÃO DE ESTACA METÁLICA - PERFIL DE AÇO LAMINADO W 250X32,7                                                                                                                                                           M         383,71          cpos 
2001071   FORNECIMENTO E CRAVAÇÃO DE ESTACA METÁLICA - PERFIL DE AÇO LAMINADO W 310X52                                                                                                                                                             M         548,99          cpos 
2001072   FORNECIMENTO E CRAVAÇÃO DE ESTACA PERFIL DE AÇO I 15"                                                                                                                                                                                    M         2.010,22        cpos 
2001073   CORTE DE ESTACA METÁLICA PERFIL 10"                                                                                                                                                                                                      UN        177,00          cpos 
2001074   CORTE DE ESTACA METÁLICA PERFIL 12"                                                                                                                                                                                                      UN        202,88          cpos 
2001075   CORTE DE ESTACA METÁLICA PERFIL I 15"                                                                                                                                                                                                    UN        209,40          cpos 
2001076   EMENDA DE TOPO PARA ESTACA METÁLICA PERFIL 10"                                                                                                                                                                                           UN        608,94          cpos 
2001077   EMENDA DE TOPO PARA ESTACA METÁLICA PERFIL 12"                                                                                                                                                                                           UN        641,06          cpos 
2001078   EMENDA DE TOPO PARA ESTACA METÁLICA PERFIL I 15"                                                                                                                                                                                         UN        731,86          cpos 
2001080   ESTACA ESCAVADA HÉLICE CONTÍNUA - DIÂMETRO 25CM                                                                                                                                                                                          M         71,36           cpos 
2001081   ESTACA ESCAVADA HÉLICE CONTÍNUA - DIÂMETRO 30CM                                                                                                                                                                                          M         92,46           cpos 
2001082   ESTACA ESCAVADA HÉLICE CONTÍNUA - DIÂMETRO 35CM                                                                                                                                                                                          M         115,99          cpos 
2001083   ESTACA ESCAVADA HÉLICE CONTÍNUA - DIÂMETRO 40CM                                                                                                                                                                                          M         148,43          cpos 
2001084   ESTACA ESCAVADA HÉLICE CONTÍNUA - DIÂMETRO 50CM                                                                                                                                                                                          M         206,73          cpos 
2001085   ESTACA ESCAVADA HÉLICE CONTÍNUA - DIÂMETRO 60CM                                                                                                                                                                                          M         279,81          cpos 
2001090   ESTACA ESCAVADA HÉLICE CONTÍNUA - DIÂMETRO 25CM - EXCLUSIVE MATERIAIS                                                                                                                                                                    M         41,59           cpos 
2001091   ESTACA ESCAVADA HÉLICE CONTÍNUA - DIÂMETRO 30CM - EXCLUSIVE MATERIAIS                                                                                                                                                                    M         50,06           cpos 
2001092   ESTACA ESCAVADA HÉLICE CONTÍNUA - DIÂMETRO 35CM - EXCLUSIVE MATERIAIS                                                                                                                                                                    M         58,42           cpos 
2001093   ESTACA ESCAVADA HÉLICE CONTÍNUA - DIÂMETRO 40CM - EXCLUSIVE MATERIAIS                                                                                                                                                                    M         66,77           cpos 
2001094   ESTACA ESCAVADA HÉLICE CONTÍNUA - DIÂMETRO 50CM - EXCLUSIVE MATERIAIS                                                                                                                                                                    M         79,60           cpos 
2001095   ESTACA ESCAVADA HÉLICE CONTÍNUA - DIÂMETRO 60CM - EXCLUSIVE MATERIAIS                                                                                                                                                                    M         96,33           cpos 
2002001   ESCAVAÇÃO MANUAL COM PROFUNDIDADE IGUAL OU INFERIOR A 1,50M                                                                                                                                                                              M3        76,89           cpos 
2002002   ESCAVAÇÃO MANUAL COM PROFUNDIDADE SUPERIOR A 1,50M                                                                                                                                                                                       M3        84,36           cpos 
2002005   ESCORAMENTO DE VALAS - CONTINUO                                                                                                                                                                                                          M2        125,53          cpos 
2002006   ESCORAMENTO DE VALAS - DESCONTINUO                                                                                                                                                                                                       M2        72,37           cpos 
2002010   APILOAMENTO DO FUNDO DE VALAS, PARA SIMPLES REGULARIZAÇÃO                                                                                                                                                                                M2        6,03            cpos 
2002011   APILOAMENTO DO FUNDO DE VALAS, COM SOQUETE VIBRATÓRIO                                                                                                                                                                                    M2        4,37            cpos 
2002015   LASTRO DE BRITA                                                                                                                                                                                                                          M3        225,40          cpos 
2002016   LASTRO DE CONCRETO - 150KG CIM/M3                                                                                                                                                                                                        M3        526,92          cpos 
2002017   LASTRO DE CONCRETO COM AGREGADO RECICLADO - 150 KG CIM/M3                                                                                                                                                                                M3        456,16          cpos 
2003001   FORMA COMUM DE TÁBUAS DE PINUS                                                                                                                                                                                                           M2        85,05           cpos 
2003004   FORMA COMUM DE TÁBUAS DE PINUS - NÃO RECUPERÁVEL                                                                                                                                                                                         M2        106,18          cpos 
2004004   ARMADURA EM AÇO CA-50                                                                                                                                                                                                                    KG        10,65           cpos 
2004007   ARMADURA EM AÇO CA-60                                                                                                                                                                                                                    KG        10,99           cpos 
2004009   ARMADURA EM AÇO CA-60 - TELA                                                                                                                                                                                                             KG        10,10           cpos 
2005005   CONCRETO FCK=15,0MPA - VIRADO NA OBRA                                                                                                                                                                                                    M3        600,72          cpos 
2005006   CONCRETO FCK=20,0MPA - VIRADO NA OBRA                                                                                                                                                                                                    M3        617,05          cpos 
2005008   CONCRETO FCK=15,0MPA - USINADO                                                                                                                                                                                                           M3        490,73          cpos 
2005009   CONCRETO FCK=20,0MPA - USINADO                                                                                                                                                                                                           M3        513,31          cpos 
2005010   CONCRETO FCK=25MPA - USINADO                                                                                                                                                                                                             M3        536,34          cpos 
2005011   CONCRETO FCK=30MPA - USINADO                                                                                                                                                                                                             M3        560,50          cpos 
2006001   ALVENARIA DE EMBASAMENTO - TIJOLOS MACIÇOS COMUNS                                                                                                                                                                                        M3        1.051,00        cpos 
2006002   ALVENARIA DE EMBASAMENTO - BLOCOS VAZADO DE CONCRETO ESTRUTURAL - 14CM - 10MPA                                                                                                                                                           M2        150,25          cpos 
2006005   IMPERMEABILIZAÇÃO DO RESPALDO DA FUNDAÇÃO - ARGAMASSA IMPERMEÁVEL                                                                                                                                                                        M2        119,20          cpos 
2006010   REATERRO DE VALAS, INCLUSIVE APILOAMENTO                                                                                                                                                                                                 M3        27,48           cpos 
2050001   DEMOLIÇÃO DE ALVENARIA DE EMBASAMENTO - TIJOLOS MACIÇOS COMUNS                                                                                                                                                                           M3        81,18           cpos 
2050003   DEMOLIÇÃO MANUAL DE CONCRETO SIMPLES                                                                                                                                                                                                     M3        265,15          cpos 
2050004   DEMOLIÇÃO MANUAL DE CONCRETO ARMADO                                                                                                                                                                                                      M3        482,08          cpos 
2050005   DEMOLIÇÃO MECANIZADA DE CONCRETO SIMPLES                                                                                                                                                                                                 M3        205,65          cpos 
2050006   DEMOLIÇÃO MECANIZADA DE CONCRETO ARMADO                                                                                                                                                                                                  M3        411,29          cpos 
2090040   BUZINOTE PVC - 2", C=0,30 M                                                                                                                                                                                                              UN        13,92           cpos 
3001001   FORMA COMUM DE TÁBUAS DE PINUS - PLANA                                                                                                                                                                                                   M2        93,74           cpos 
3001004   FORMA COMUM DE TÁBUAS DE PINUS - NÃO RECUPERÁVEL                                                                                                                                                                                         M2        106,18          cpos 
3001011   FORMA ESPECIAL DE CHAPAS RESINADAS (10MM) - CURVA                                                                                                                                                                                        M2        133,78          cpos 
3001013   FORMA ESPECIAL DE CHAPAS PLASTIFICADAS (10MM) - CURVA                                                                                                                                                                                    M2        139,80          cpos 
3001014   FORMA ESPECIAL DE CHAPAS RESINADAS (10MM) - PLANA                                                                                                                                                                                        M2        110,94          cpos 
3001015   FORMA ESPECIAL DE CHAPAS RESINADAS (12MM) - PLANA                                                                                                                                                                                        M2        112,11          cpos 
3001016   FORMA ESPECIAL DE CHAPAS PLASTIFICADAS (10MM) - PLANA                                                                                                                                                                                    M2        114,92          cpos 
3001017   FORMA ESPECIAL DE CHAPAS PLASTIFICADAS (12MM) - PLANA                                                                                                                                                                                    M2        116,61          cpos 
3001020   FORMA DE TUBO DE PAPELÃO, DIÂMETRO 350MM                                                                                                                                                                                                 M         163,55          cpos 
3001030   CIMBRAMENTO PARA ALTURAS ENTRE 3,01M E 7,00M                                                                                                                                                                                             M3        43,18           cpos 
3002004   ARMADURA EM AÇO CA-50                                                                                                                                                                                                                    KG        10,65           cpos 
3002007   ARMADURA EM AÇO CA-60                                                                                                                                                                                                                    KG        10,99           cpos 
3002009   ARMADURA EM AÇO CA-60 - TELA                                                                                                                                                                                                             KG        10,10           cpos 
3003005   CONCRETO FCK = 15,0MPA - VIRADO NA OBRA                                                                                                                                                                                                  M3        600,72          cpos 
3003007   CONCRETO FCK = 20,0MPA - VIRADO NA OBRA                                                                                                                                                                                                  M3        617,05          cpos 
3003008   CONCRETO FCK = 25,0MPA - VIRADO NA OBRA                                                                                                                                                                                                  M3        634,62          cpos 
3003009   CONCRETO FCK = 15,0MPA - USINADO                                                                                                                                                                                                         M3        490,73          cpos 
3003015   CONCRETO FCK = 20,0MPA - USINADO                                                                                                                                                                                                         M3        513,31          cpos 
3003016   CONCRETO FCK = 20,0MPA - USINADO E BOMBEÁVEL                                                                                                                                                                                             M3        505,69          cpos 
3003017   CONCRETO FCK = 25,0MPA - USINADO                                                                                                                                                                                                         M3        536,34          cpos 
